ΕΦΑΡΜΟΓΗ,ΘΕΜΑΤΙΚΗ ΕΝΟΤΗΤΑ,ΓΝΩΣΤΙΚΟ ΑΝΤΙΚΕΙΜΕΝΟ,ΕΚΠΑΙΔΕΥΤΙΚΗ ΒΑΘΜΙΔΑ,"URL
",ΠΕΡΙΓΡΑΦΗ,"ΑΔΕΙΑ
",ΕΙΔΟΣ,ΛΕΙΤΟΥΡΓΙΚΟ
Openshot,ΒΙΝΤΕΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.openshot.org/,"Επεξεργασία βίντεο
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
OpenStudent,ΣΥΣΤΗΜΑΤΑ ΔΙΑΧΕΙΡΙΣΗΣ ΠΛΗΡΟΦΟΡΙΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://openstudent.ca,Συστήματα διαχείρισης Πληροφοριών,,,,
Oregano,ΗΛΕΚΤΡΟΝΙΚΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://github.com/drahnr/oregano,Πρόγραμμα για την προσομοίωση ηλεκτρικών κυκλωμάτων. ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
OS Sim,"ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
",ΠΛΗΡΟΦΟΡΙΚΗ,"ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://sourceforge.net/projects/oscsimulator/,Εξομοίωση Λειτουργικών Συστημάτων,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
Paint.net,ΖΩΓΡΑΦΙΚΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.getpaint.net/index.html,"Σχεδίαση - Επεξεργασία εικόνας
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"Windows
",
PDFCreator,ΔΗΜΙΟΥΡΓΙΑ PDF,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.pdfforge.org/pdfcreator,"Εφαρμογή δημιουργίας PDF
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS,
PhET,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΛΥΚΕΙΟ,https://phet.colorado.edu/el/about,"Το PhET παρέχει διασκεδαστικές, διαδραστικές, βασισμένες σε έρευνες προσομοιώσεις φυσικών φαινομένων δωρεάν. Θεωρούμε ότι η βασισμένη σε έρευνα προσέγγισή μας -που ενσωματώνει ευρήματα από προηγούμενες έρευνες- ενεργοποιεί τους μαθητές, ώστε να κάνουν συνδέσεις μεταξύ των φαινομένων της πραγματικής ζωής και της υποκείμενης σε αυτά επιστημονικής γνώσης και να εμβαθύνουν στον φυσικό κόσμο.",OER,ΠΛΑΤΦΟΡΜΑ,ΟΝLINE,
photodentro,ΑΝΟΙΧΤΟ ΕΚΠΑΙΔΕΥΤΙΚΟ ΠΕΡΙΕΧΟΜΕΝΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,,,OER,ΠΛΑΤΦΟΡΜΑ,ΟΝLINE,
Photorec,"ΕΡΓΑΛΕΙΑ ΣΥΣΤΗΜΑΤΟΣ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.cgsecurity.org/wiki/PhotoRec,Προγραμμα ανακτησης διεγραμμενων αρχειων το οποιο δουλευει τοσο σε καρτα μνημης φωτογραφικων μηχανων οσο και σε σκληρους δισκους μιας και υποστηριζει και πολλων ειδων αρχεια.,OPEN SOURCE,"ΕΦΑΡΜΟΓΗ
",CROSSPLATFORM,
php,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,,,,,,
PhysicsLab,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.physicslab.org/,,OER,ΠΛΑΤΦΟΡΜΑ,ΟΝLINE,
physion,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΦΥΣΙΚΗ,ΠΡΩΤΟΒΑΘΜΙΑ#ΓΥΜΝΑΣΙΟ,"
http://physion.net/en/downloads",Physion is a 2D Physics simulation software. It can be used to easily create a wide range of interactive physics simulations and educational experiments.,OPEN SOURCE,"
","WINDOWS, LINUX",
Pidgin,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,"Ανταλλάξτε άμεσα μηνύματα. Υποστηρίζει τα πρωτόκολλα AIM, Google Talk, Jabber/XMPP, MSN, Yahoo και πολλά άλλα",Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Pitivi,ΒΙΝΤΕΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.pitivi.org/,Επεξεργασία βίνεο,OPEN SOURCE,LINUX,,
Pointing Magnifier,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,"ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ
",http://depts.washington.edu/aimgroup/proj/ptgmag/,Δείκτες Ποντικιού - Διευκόλυνση Κλικ - Μεγέθυνση Οθόνης,,"ΕΦΑΡΜΟΓΗ
",Windows ALL,
prezi,ΔΗΜΙΟΥΡΓΙΑ ΠΑΡΟΥΣΙΑΣΕΩΝ ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://prezi.com,online presenations,"OER
",ΠΛΑΤΦΟΡΜΑ,ONLINE,
Proprofs,ΚΟΥΙΖ - ΠΑΖΛ -ΤΕΣΤ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,,"online quiz, survey, online course creation tool as well as a knowledge base software",OER,ΠΛΑΤΦΟΡΜΑ,ONLINE,
Protein Investigator,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΒΙΟΛΟΓΙΑ,ΛΥΚΕΙΟ,http://intro.bio.umb.edu/PI/,The Protein Investigator gives students an opportunity to interactively explore protein structure and function in a simplified system. This is a highly-simplified model of protein folding. It is not intended to predict the correct structures of any proteins; it is designed to illustrate the major principles involved in that proces,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"WINDOWS, MACOSX",
PSPP,"ERP/CRM
","
ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ","ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",http://www.gnu.org/software/pspp/,ERP/CRM,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
PuTTY,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.chiark.greenend.org.uk/~sgtatham/putty,"terminal emulator, serial console and network file transfer application",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
PyCAM,"CAD
","ΜΗΧΑΝΟΛΟΓΙΑΣ
",ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://pycam.sourceforge.net/,"Σχεδιαστικά CAD, Μηχανολογίας",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
PyCharm Community,"ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
",ΠΛΗΡΟΦΟΡΙΚΗ,"ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://www.jetbrains.com/pycharm/,Python IDE,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
pySioGame,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,,ΠΡΩΤΟΒΑΘΜΙΑ,http://www.pysiogame.net/,"Συλλογή εκπαιδευτικών παιχνιδιών και δραστηριοτήτων
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"WINDOWS, LINUX",
pysiogame,,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,http://www.pysiogame.net/,Συλλογή εκπαιδευτικών παιχνιδιών-προγραμματων,,,,
qCAD,"CAD
","ΜΗΧΑΝΟΛΟΓΙΑΣ
",ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.ribbonsoft.com/en/,"Σχεδιαστικά CAD, Μηχανολογίας",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
QGIS,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΓΕΩΓΡΑΦΙΑ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.qgis.org/en/site/,"Το  Quantum  GIS  (QGIS)  είναι  ένα  φιλικό  προς  το  χρήστη  λογισμικό 
Γεωγραφικών  Συστημάτων  Πληροφοριών  Ανοιχτού  Κώδικα  και 
διέπεται από την άδεια General Public License (GNU)",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Qucks,"ΗΛΕΚΤΡΟΝΙΚΗ
",ΗΛΕΚΤΡΟΛΟΓΙΑΣ ΗΛΕΚΤΡΟΝΙΚΗΣ ΚΑΙ ΑΥΤΟΜΑΤΙΣΜΟΥ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://qucs.sourceforge.net/,"Σχεδίαση ηλεκτρονικών Κυκλωμάτων
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
qucs,ΗΛΕΚΤΡΟΝΙΚΗ,,ΛΥΚΕΙΟ,http://qucs.sourceforge.net/index.html,"Qucs is an integrated circuit simulator which means you are able to setup a circuit with a graphical user interface (GUI) and simulate the large-signal, small-signal and noise behaviour of the circuit. After that simulation has finished you can view the simulation results on a presentation page or window.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
R-project ,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΜΑΘΗΜΑΤΙΚΑ,"ΛΥΚΕΙΟ
",https://www.r-project.org/,Γλώσσα με περιβάλλον για υπολογισμούς στατιστικής. Προσφέρει μεγάλη ποικιλία στατιστικών και γραφικών τεχνικών. ,OPEN SOURCE,,CROSSPLATFORM,
Repetier,ΣΧΕΔΙΑΣΗ 3D- PRINTING,,"ΛΥΚΕΙΟ
",https://www.repetier.com/,3D Printing Software,,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
sage,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΜΑΘΗΜΑΤΙΚΑ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.sagemath.org/,SageMath is a free open-source mathematics software system licensed under the GP,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Sakai,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://sakaiproject.org,Πλατφόρμες eLearning,,,,
SalsaJ,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.euhou.net/index.php/salsaj-software-mainmenu-9/download-mainmenu-10,"It allows students to display, analyse, and explore real astronomical images and other data in the same way that professional astronomers do, making the same kind of discoveries that lead to true excitement about science. ",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
SAW - Special Access to Windows,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,"ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ
",http://www.senteacher.org/download/72/SwitchAccessWindows.html,"Εικονικά Πληκτρολόγια, εναλλακτική επικοινωνία",,"ΕΦΑΡΜΟΓΗ
",,
SchoolTool,ΣΥΣΤΗΜΑΤΑ ΔΙΑΧΕΙΡΙΣΗΣ ΠΛΗΡΟΦΟΡΙΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://schooltool.org,Συστήματα διαχείρισης Πληροφοριών,,,,
scilab,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΜΑΘΗΜΑΤΙΚΑ,"ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://www.scilab.org,"Πακέτο λογισμικού για αριθμητικούς υπολογισμούς. Υποστηρίζει την ενσωμάτωση προγραμμάτων γραμμένων σε διάφορες γλώσσες (C, Fortran κ.ά.). ",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Scratch for Arduino (S4A),ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,,S4A is a Scratch modification that allows for simple programming of the Arduino open source hardware platform. It provides new blocks for managing sensors and actuators connected to Arduino. There is also a sensors report board similar to the PicoBoard one,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Scribus,DTP,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://www.scribus.net/,"Το Scribus είναι μια εφαρμογή για σελιδοποίηση εγγράφων (desktop publishing, DTP) η οποία διατίθεται ως ελεύθερο λογισμικό υπό τη Γενική δημόσια άδεια GPL. ",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Sebran,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,http://online.seterra.com/en/p/sebran,Συλλογή εκπαιδευτικών παιχνιδιών-προγραμματων,OPEN SOURCE,,WINDOWS,
seilias,ΑΝΟΙΧΤΟ ΕΚΠΑΙΔΕΥΤΙΚΟ ΠΕΡΙΕΧΟΜΕΝΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.seilias.gr/,Φυσική και Φωτογραφία,OER,ΠΛΑΤΦΟΡΜΑ,ONLINE,
Simile Exhibit,ΔΙΑΔΡΑΣΤΙΚΟΙ ΧΑΡΤΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.simile-widgets.org/exhibit/,"Exhibit lets you easily create web pages with advanced text search and filtering functionalities, with interactive maps, timelines, and other visualizations like these: ",OPEN SOURCE,"SOURCE CODE
",,
Simile Timeline,ΧΡΟΝΟΓΡΑΜΜΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://simile-widgets.org/wiki/Timeline,,,,,
SimulIDE,"ΗΛΕΚΤΡΟΝΙΚΗ
",ΗΛΕΚΤΡΟΛΟΓΙΑΣ ΗΛΕΚΤΡΟΝΙΚΗΣ ΚΑΙ ΑΥΤΟΜΑΤΙΣΜΟΥ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://sourceforge.net/projects/simulide/,"Σχεδίαση ηλεκτρονικών Κυκλωμάτων
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
simutron,"ΗΛΕΚΤΡΟΝΙΚΗ
",ΗΛΕΚΤΡΟΛΟΓΙΑΣ ΗΛΕΚΤΡΟΝΙΚΗΣ ΚΑΙ ΑΥΤΟΜΑΤΙΣΜΟΥ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://sourceforge.net/projects/simutron/,"Σχεδίαση ηλεκτρονικών Κυκλωμάτων
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
SOFA statitics,"ERP/CRM
","
ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ","ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",http://www.sofastatistics.com,ERP/CRM,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
Starlight,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΦΥΣΙΚΗ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Όρασης,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Starlight - Ανάγνωση βιβλίων,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΙΣΤΟΡΙΑ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Όρασης,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Starlight Ανάγνωση Βιβλίων,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΑΡΧΑΙΑ,ΓΥΜΝΑΣΙΟ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Όρασης,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Starlight Φυσική Β-Γ Γυμνασίου,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΦΥΣΙΚΗ,ΓΥΜΝΑΣΙΟ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Όρασης,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
StarLogo,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΠΛΗΡΟΦΟΡΙΚΗ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Περιβάλλον μοντελοποίησης των λειτουργιών αποκεντρωμένων συστημάτων,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
StarLogo TNG,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΠΛΗΡΟΦΟΡΙΚΗ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Περιβάλλον προγραμματισμού εκπαιδευτικών παιχνιδιών με χρήση Blocks,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Stellarium,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,http://www.stellarium.org/,"Είναι μια πλήρως εξελληνισμένη εφαρμογή λογισμικού ανοιχτού κώδικα, με την οποία μπορείτε να απεικονίσετε ρεαλιστικά, σε τρεις διαστάσεις, τον ουρανό με τους αστερισμούς. Είναι ένα 3D πλανητάριο για τον Η/Υ, που εγκαθίσταται σε pc, mac και linux. Απλά ορίστε συντεταγμένες και ξεκινήστε την περιήγηση σε περισσότερα από 600.000 άστρα, ενώ υπάρχουν επιπρόσθετοι κατάλογοι 210 εκατομμυρίων άστρων.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
STORYBIRD,ΔΗΜΙΟΥΡΓΙΑ ΔΙΑΔΡΑΣΤΙΚΩΝ ΙΣΤΟΡΙΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://storybird.com/,"Δημιουργία διαδραστικών ιστοριών
",,ΠΛΑΤΦΟΡΜΑ,ONLINE,
storyboardthat,ΔΗΜΙΟΥΡΓΙΑ ΔΙΑΔΡΑΣΤΙΚΩΝ ΙΣΤΟΡΙΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.storyboardthat.com/,Δημιουργία διαδραστικών ιστοριών,,ΠΛΑΤΦΟΡΜΑ,ONLINE,
StoryMapJS,ΕΝΝΟΙΟΛΟΓΙΚΟΙ ΧΑΡΤΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://storymap.knightlab.com/,,,ΠΛΑΤΦΟΡΜΑ,ONLINE,
SuiteCRM,"ERP/CRM
","
ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ","ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://suitecrm.com/,ERP/CRM,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
Tagul,ΣΥΝΝΕΦΑ ΛΕΞΕΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://tagul.com/,,,,,
tcexam,ΚΟΥΙΖ - ΠΑΖΛ -ΤΕΣΤ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://tcexam.org/,"TCExam is a Open Source system for electronic exams (also know as CBA - Computer-Based Assessment, CBT - Computer-Based Testing or e-exam) that enables educators and trainers to author, schedule, deliver, and report on quizzes, tests and exams",OPEN SOURCE,ΠΛΑΤΦΟΡΜΑ,ONLINE,
thinglink,ΔΗΜΙΟΥΡΓΙΑ ΠΟΛΥΜΕΣΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,https://www.thinglink.com/edu,Διαδικτυακή πλατφόρμα μετατροπής απλών στατικών εικόνων σε σύνθετες πολυμεσικές,,ΠΛΑΤΦΟΡΜΑ,ONLINE,
Thunderbird,ΗΛΕΚΤΡΟΝΙΚΗ ΑΛΛΗΛΟΓΡΑΦΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://www.mozilla.org/el/thunderbird/,Εφαρμογή ηλ. ταχυδρομείου,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Timeglider,ΧΡΟΝΟΓΡΑΜΜΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://timeglider.com/,"Web-based timeline software for creating and sharing history, project planning and more",,ΠΛΑΤΦΟΡΜΑ,"ONLINE
",
TimelineJS,ΧΡΟΝΟΓΡΑΜΜΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,"
https://timeline.knightlab.com/",εφαρμογή κατασκευής διαδραστικών χρονογραμμών,,,"ONLINE
",
TimeRime,ΧΡΟΝΟΓΡΑΜΜΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,http://timerime.com/,,,ΠΛΑΤΦΟΡΜΑ,ONLINE,
Timetoast,ΧΡΟΝΟΓΡΑΜΜΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,https://www.timetoast.com/,,,,,
TinyCAD,"ΗΛΕΚΤΡΟΝΙΚΗ
",ΗΛΕΚΤΡΟΛΟΓΙΑΣ ΗΛΕΚΤΡΟΝΙΚΗΣ ΚΑΙ ΑΥΤΟΜΑΤΙΣΜΟΥ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://sourceforge.net/projects/tinycad/,"Σχεδίαση ηλεκτρονικών Κυκλωμάτων
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"Windows
",
tuxfootball,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,http://tuxfootball.sourceforge.net/,Παιχνίδι – ποδόσφαιρο,,,,
tuxguitar,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΜΟΥΣΙΚΗ,ΠΡΟΣΧΟΛΙΚΗ,http://www.tuxguitar.com.ar/,Πρόγραμμα μουσικής,,,,
TuxMath,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,,Παιχνιδι αριθμητικής,,,,
TuxPaint,ΖΩΓΡΑΦΙΚΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ#ΠΡΩΤΟΒΑΘΜΙΑ,http://www.tuxpaint.org/,"Tux Paint is a free, award-winning drawing program for children ages 3 to 12 (for example, preschool and K-6). Tux Paint is used in schools around the world as a computer literacy drawing activity. It combines an easy-to-use interface, fun sound effects, and an encouraging cartoon mascot who guides children as they use the program.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
